dec_long_va	dec_lat_va	GW_Level_NAVD	Well_ID	WellDepth_BLS	WellDepth_NAVD	GWL_Shallow	GWL_Middle	GWL_Deep
-95.7472222	29.72277778	-58.5064	294322095445001.0	410.0	-378.9	-42.5	-53.0	-63.5
-95.6944444	29.7875	-81.0433	294731095414201.0	407.2	-374.0	-65.4	-75.9	-86.4
-95.5108333	29.72805556	-55.5711	294348095303702.0	406.9	-387.2	-39.0	-49.5	-60.0
-95.1591667	29.71055556	-38.4322	294237095093205.0	404.8	-396.3	-21.2	-31.7	-42.2
-95.6119444	29.7375	-83.2653	294414095364202.0	402.9	-378.6	-67.3	-77.8	-88.3
-95.4761111	29.52583333	-39.19425	293132095283301.0	402.3	-380.2	-23.1	-33.6	-44.1
-95.5522222	29.57333333	-40.5475	293424095330702.0	402.3	-381.7	-24.3	-34.8	-45.3
-95.6194444	29.70333333	-35.9603	294211095370901.0	402.3	-377.7	-20.0	-30.5	-41.0
-95.6338889	29.7661111	-54.23	294519095383201.0	401.1	-374.9	-38.5	-49.0	-59.5
-95.1580556	30.1775	-28.7335	301039095092901.0	400.8	-368.1	-13.5	-24.0	-34.5
-94.8880556	30.0486111	-9.88615	300254094531801.0	400.5	-375.4	5.9	-4.6	-15.1
-95.8161111	29.53888889	-15.8953	293219095485701.0	400.2	-369.9	-0.5	-11.0	-21.5
-95.0213889	29.5647222	-26.0055	293352095011603.0	398.7	-396.2	-8.8	-19.3	-29.8
-95.5208333	29.5761111	-37.4005	293434095311501.0	398.7	-375.4	-21.6	-32.1	-42.6
-95.6219444	29.7186111	-72.33815	294306095371801.0	397.8	-374.2	-56.6	-67.1	-77.6
-95.5472222	29.52777778	-38.9687	293140095325001.0	396.2	-379.7	-22.9	-33.4	-43.9
-95.5455556	30.69166667	34.9179	304130095324401.0	393.2	-252.3	42.1	31.6	21.1
-95.6638889	29.78305556	-77.1266	294702095394001.0	392.6	-363.9	-62.2	-72.7	-83.2
-95.7732444	29.86425833	-59.1632	295151095462401.0	390.1	-345.6	-45.5	-56.0	-66.5
-95.4297222	30.26388889	-47.8048	301550095254701.0	388.9	-338.9	-34.6	-45.1	-55.6
-95.7669444	29.73416667	-61.86525	294403095460101.0	386.5	-352.2	-47.7	-58.2	-68.7
-95.8297222	29.7022222	-46.03545	294209095494701.0	386.5	-346.7	-32.3	-42.8	-53.3
-95.7841667	29.69277778	-49.8866	294134095470301.0	385.6	-350.8	-35.8	-46.3	-56.8
-95.5238889	29.60694444	-43.36545	293628095312801.0	382.8	-360.8	-28.6	-39.1	-49.6
-95.805	29.74444444	-73.48725	294408095483001.0	382.8	-347.1	-59.7	-70.2	-80.7
-95.1713889	29.74055556	-40.1452	294425095101601.0	381.6	-378.8	-24.1	-34.6	-45.1
-95.7616667	29.71277778	-62.1594	294246095454201.0	378.0	-346.6	-48.4	-58.9	-69.4
-95.6408333	29.79	-79.1596	294723095382601.0	377.3	-348.6	-65.3	-75.8	-86.3
-95.1186111	29.5636111	-3.53265	293348095070601.0	375.5	-369.7	11.8	1.3	-9.2
-95.1269444	29.75055556	-38.64255	294500095073401.0	374.9	-367.8	-23.4	-33.9	-44.4
-95.1791667	29.77944444	-39.20795	294645095104401.0	371.9	-363.9	-24.2	-34.7	-45.2
-95.4638889	29.59555556	-51.2674	293543095274901.0	371.9	-352.6	-37.1	-47.6	-58.1
-95.6219444	29.75833333	-56.01465	294529095371801.0	371.9	-345.8	-42.3	-52.8	-63.3
-95.7091667	29.91444444	-75.85555	295452095423301.0	370.6	-327.1	-63.5	-74.0	-84.5
-95.1583333	30.32	-3.9685	301911095092901.0	370.0	-323.3	8.2	-2.3	-12.8
-95.2308333	29.66166667	-36.07	293941095135001.0	369.4	-360.8	-21.3	-31.8	-42.3
-95.7472222	29.79694444	-71.40700000000001	294747095444701.0	368.8	-330.4	-58.8	-69.3	-79.8
-95.1469444	30.01055556	-33.0342	300037095084802.0	367.3	-346.5	-19.3	-29.8	-40.3
-95.4938889	29.62638889	-47.8262	293734095293701.0	367.0	-347.8	-34.0	-44.5	-55.0
-95.2386111	29.73444444	-41.3263	294403095141801.0	366.1	-357.7	-26.8	-37.3	-47.8
-95.5022222	29.6261111	-48.448	293732095300601.0	365.8	-345.6	-34.8	-45.3	-55.8
-95.5519444	29.57388889	-40.5811	293424095330701.0	365.8	-345.7	-26.9	-37.4	-47.9
-95.5741667	29.83138889	-72.2986	294952095342601.0	365.8	-335.7	-59.3	-69.8	-80.3
-95.7738889	29.68694444	-47.084	294112095462501.0	365.8	-332.8	-34.3	-44.8	-55.3
-95.1769444	29.79444444	-38.52215	294732095103401.0	365.2	-356.1	-24.1	-34.6	-45.1
-95.5955556	29.675	-45.3116	294029095354301.0	364.2	-339.0	-32.1	-42.6	-53.1
-95.2044444	30.08083333	-32.641	300446095121901.0	362.7	-340.1	-19.3	-29.8	-40.3
-95.4816667	29.62694444	-50.7888	293736095285301.0	362.7	-344.9	-37.1	-47.6	-58.1
-95.6247222	29.7636111	-41.3263	294548095372801.0	362.7	-336.5	-28.3	-38.8	-49.3
-95.5747222	29.58083333	-38.0497	293431095341801.0	362.1	-341.2	-24.7	-35.2	-45.7
-95.3875	30.09555556	-89.8825	300544095231501.0	360.3	-329.5	-77.3	-87.8	-98.3
-94.68	30.0722222	10.9027	300417094404801.0	359.7	-338.4	24.1	13.6	3.1
-95.4924389	30.13821944	-79.79515	300811095291702.0	359.7	-317.6	-68.1	-78.6	-89.1
-95.4925	30.01388889	-53.42385	300053095292601.0	359.7	-326.6	-41.1	-51.6	-62.1
-95.7525	29.74527778	-61.7494	294442095450801.0	359.7	-326.1	-49.4	-59.9	-70.4
-95.8469444	29.54388889	-20.37435	293237095504801.0	359.1	-327.7	-7.9	-18.4	-28.9
-95.2325	29.6536111	-34.6329	293910095135601.0	356.6	-347.4	-20.8	-31.3	-41.8
-95.6405556	29.7825	-80.5678	294656095382501.0	356.6	-328.4	-68.1	-78.6	-89.1
-95.7619444	29.7972222	-63.91045	294753095454001.0	356.6	-316.0	-52.3	-62.8	-73.3
-95.79525	29.78898889	-63.34655	294720095474301.0	356.6	-314.2	-51.9	-62.4	-72.9
-95.4644444	30.01416667	-50.4231	300050095275301.0	355.1	-319.2	-38.6	-49.1	-59.6
-95.5783333	29.80027778	-74.9168	294800095344101.0	355.1	-327.2	-62.5	-73.0	-83.5
-95.16	30.06555556	-25.9507	300355095093501.0	353.6	-333.2	-13.1	-23.6	-34.1
-95.1827778	29.8011111	-38.96865	294803095105701.0	353.6	-343.9	-25.4	-35.9	-46.4
-95.7122222	30.0725	-50.7401	300421095424401.0	353.6	-287.4	-41.1	-51.6	-62.1
-95.8161111	30.06916667	50.5861	300408095485701.0	353.6	-278.4	59.6	49.1	38.6
-95.4122222	29.4311111	-33.02815	292552095244401.0	353.0	-338.6	-19.8	-30.3	-40.8
-95.6844444	29.36305556	-7.6444	292146095410301.0	353.0	-331.8	5.1	-5.4	-15.9
-95.3697222	29.8172222	-38.865	294901095221001.0	351.1	-332.3	-26.1	-36.6	-47.1
-94.7405556	30.23694444	15.3101	301408094442201.0	350.5	-321.6	27.3	16.8	6.3
-95.6608333	29.88444444	-44.1518	295301095393901.0	349.0	-310.0	-33.0	-43.5	-54.0
-95.7186111	29.99777778	-77.6478	295952095430701.0	349.0	-300.5	-67.1	-77.6	-88.1
-95.7827778	30.02694444	-49.7373	300137095465801.0	348.7	-290.2	-39.9	-50.4	-60.9
