Longitude	Latitude	Year	GWL_BLS(ft)	Well_Depth_BLS(ft)	LSE_NAVD(ft)	Well_ID	TWEB_ID	Year	mm	dd	yyyy	Decimal_Year		Wee_bottom_NAVD
-95.35056	29.72917	6/25/1925	46.8	866	45.0	6522119--	6522119	6/25/1925	6	25	1925	1925.486301		-821.0
-95.35111	29.72917	1/1/1926	22.0	1521	45.0	126522118--	126522118	1/1/1926	1	1	1926	1926.00274		-1476.0
-95.35083	29.72667	8/1/1928	62.0	1350	45.0	6522120--	6522120	8/1/1928	8	1	1928	1928.587671		-1305.0
-95.35056	29.72639	5/1/1931	58.0	1756	45.0	6522121--	6522121	5/1/1931	5	1	1931	1931.336986		-1711.0
-95.34972	29.72833	11/15/1938	97.4	957	44.0	6522106--	6522106	11/15/1938	11	15	1938	1938.876712		-913.0
-95.28167	29.73778	8/3/1929	42.0	900	15.0	294415095165301	136522317	8/3/1929	8	3	1929	1929.593151		-885.0
-95.29083	29.77056	10/19/1929	54.0	676	41.7	294613095172601	6514912	10/19/1929	10	19	1929	1929.80411		-634.3
-95.37583	29.76028	1/30/1931	53.5	625	42.4	294536095223201	146513927	1/30/1931	1	30	1931	1931.082192		-582.7
-95.37667	29.76389	4/1/1927	27.0	1540	42.0	6513925--	6513925	4/1/1927	4	1	1927	1927.253425		-1498.0
-95.37972	29.76361	5/21/1927	47.0	1456	42.0	6513924--	6513924	5/21/1927	5	21	1927	1927.391781		-1414.0
-95.37750	29.76167	11/17/1938	89.4	1320	30.0	6513926--	6513926	11/17/1938	11	17	1938	1938.882192		-1290.0
-95.37861	29.76389	7/30/1935	83.0	953	30.0	6513932--	6513932	7/30/1935	7	30	1935	1935.583562		-923.0
-95.37611	29.76250	9/11/1935	53.0	2025	43.0	6513933--	6513933	9/11/1935	9	11	1935	1935.69863		-1982.0
-95.36000	29.76361	7/10/1925	48.0	1535	35.0	6514747--	6514747	7/10/1925	7	10	1925	1925.528767		-1500.0
-95.36972	29.76445	8/20/1945	136.4	2035	25.0	156514707--	156514707	8/20/1945	8	20	1945	1945.639726		-2010.0
-95.40556	29.80333	3/5/1923	19.5	1362	68.0	6513613--	6513613	3/5/1923	3	5	1923	1923.180822		-1294.0
-95.40556	29.80333	1/20/1938	76.9	1039	68.0	6513614--	6513614	1/20/1938	1	20	1938	1938.054795		-971.0
-95.40472	29.80389	11/14/1938	63.6	1858	67.0	6513606--	6513606	11/14/1938	11	14	1938	1938.873973		-1791.0
-95.40556	29.81028	11/14/1938	87.7	1232	68.0	6513605--	6513605	11/14/1938	11	14	1938	1938.873973		-1164.0
-95.40611	29.79806	11/14/1938	84.7	1458	69.0	6513608--	6513608	11/14/1938	11	14	1938	1938.873973		-1389.0
-95.40472	29.80306	11/14/1938	88.4	1252	67.0	6513607--	6513607	11/14/1938	11	14	1938	1938.873973		-1185.0
-95.39028	29.72333	4/1/1917	13.0	1394	52.0	6521319--	6521319	4/1/1917	4	1	1917	1917.253425		-1342.0
-95.38417	29.72333	1/1/1917	29.0	830	50.0	6521322--	6521322	1/1/1917	1	1	1917	1917.00274		-780.0
-95.39028	29.72333	5/23/1933	47.3	1127	51.0	6521323--	6521323	5/23/1933	5	23	1933	1933.39726		-1076.0
-95.38861	29.72333	11/16/1938	78.2	777	50.0	6521321--	6521321	11/16/1938	11	16	1938	1938.879452		-727.0
-95.38945	29.72250	1/1/1932	76.0	1618	51.0	6521320--	6521320	1/1/1932	1	1	1932	1932.00274		-1567.0
-95.41195	29.77111	11/25/1918	-18.0	1465	59.0	6513915--	6513915	11/25/1918	11	25	1918	1918.90411		-1406.0
-95.41111	29.77056	10/19/1928	20.0	558	59.0	6513914--	6513914	10/19/1928	10	19	1928	1928.80411		-499.0
-95.25750	29.73472	6/1/1925	41.0	1033	36.0	6522226--	6522226	6/1/1925	6	1	1925	1925.420548		-997.0
-95.27472	29.70250	10/28/1930	48.7	1651	34.0	166522615--	166522615	10/28/1930	10	28	1930	1930.828767		-1617.0
-95.33472	29.79111	3/12/1932	15.0	1876	49.0	176514727--	176514727	3/12/1932	3	12	1932	1932.2		-1827.0
-95.33389	29.79139	11/16/1938	92.4	1291	49.0	6514759--	6514759	11/16/1938	11	16	1938	1938.879452		-1242.0
-95.31445	29.73695	1/8/1931	49.3	694	40.0	6522212--	6522212	1/8/1931	1	8	1931	1931.021918		-654.0
-95.31528	29.73778	5/3/1926	31.0	1096	40.0	6522211--	6522211	5/3/1926	5	3	1926	1926.342466		-1056.0
-95.30639	29.73111	1/16/1931	51.2	697	33.0	6522214--	6522214	1/16/1931	1	16	1931	1931.043836		-664.0
-95.26639	29.72222	10/1/1921	13.0	1283	35.0	6522323--	6522323	10/1/1921	10	1	1921	1921.754795		-1248.0
-95.39917	29.72194	1/24/1931	66.9	910	52.0	6521324--	6521324	1/24/1931	1	24	1931	1931.065753		-858.0
-95.28445	29.78917	3/19/1931	50.1	540	44.0	6514908--	6514908	3/19/1931	3	19	1931	1931.219178		-496.0
-95.39583	29.77083	1/23/1931	69.6	340	60.0	6513916--	6513916	1/23/1931	1	23	1931	1931.063014		-280.0
-95.43361	29.71417	1/24/1931	38.9	610	56.0	6521217--	6521217	1/24/1931	1	24	1931	1931.065753		-554.0
