Depth_BLS	Depth_NAVD	GW_Level	Well_ID
533	-486.0	7.65048	6508809--
540	-496.0	-1.85928	6514908--
545	-395.13	30.9	294703095513700
545	-422.77	24.47	294308095483401
545	-528.0	-8.9916	6532624--
545	-531.4	-1.95	294321095005401
546	-274.39	56.88	301912095343401
550	-529.88	-10.63	293949094543701
550	-541.96	-5.17	294149094545301
550	-543.65	-4.77	285555095333301
556	-440.77	27.72	300045095281101
556	-521.06	-1.54	294618094513401
557	-541.83	-20.07	294010095001901
558	-499.0	11.8872	6513914--
558	-534.03	-4.28	285923095310002
558	-537.06	-11.3	294452095010501
560	-544.57	-9.82	293039095053201
566	-260.2	72.4814	302254095420001
568	-546.47	-31.84	294420095000401
569	-527.0	-4.54152	6514914--
570	-543.0	-3.9624	6524914--
570	-558.0	-9.23544	6532801--
571	-516.0	-6.00456	6513918--
571	-548.67	-16.36	294437095003801
583	-556.76	-16.08	293545095101101
586	-453.87	20.59	294259095495801
590	-439.58	24.51	294328095540801
596	-448.58	25.73	294326095533701
600	-544.27	14.24	292808095343401
600	-567.3	-1.85928	6531705--
600	-575.22	-1.59	293944094534201
600	-576.08	0.52	291346095205101
600	-586.75	-14.86	293609094591001
604	-527.99	20.03	293720095380503
606	-302.1	70.9879	302300095394501
609	-476.39	29.36	294704095461601
610	-554.0	5.21208	6521217--
610	-596.0	-9.4488	86433811--
625	-582.65	-5.32	294536095223201
628	-488.59	24.83	294400095505301
630	-604.24	-8.91	293938094534301
630	-606.95	-2.12	293934094535601
634	-608.48	-4.41	294435094502201
635	-599.4	10.55	291252095281901
641	-468.1	35.75	295147095533300
650	-593.0	4.45008	6521220--
655	-603.75	11.96	292358095323801
660	-654.58	-11.15	293111095062101
665	-598.48	5.62	293453095275401
666	-602.0	1.92024	6514413--
676	-634.28	-6.13	294613095172601
694	-654.0	-2.83464	6522212--
697	-664.0	-5.54736	6522214--
712	-657.15	2.47	294208095280701
720	-700.8	2.40792	6548228--
720	-703.7	1.31064	292050095010801
720	-704.5	1.09728	6548314--
723	-588.47	26.01	294220095504201
733	-656.99	14.02	293720095380501
740	-651.35	18.18	295944095155803
740	-731.0	0.54864	6433913--
743	-724.48	-7.16	294352095002801
750	-736.1	-1.18872	6540212--
755	-734.83	-3.0	294033094521301
763	-736.8	-2.10312	6531818--
767	-589.85	36.98	295213095532101
777	-727.0	-8.59536	6521321--
790	-764.0	-4.572	6523314--
790	-779.9	1.55448	6548306--
793	-685.59	25.58	300124095241401
796	-773.0	-2.68224	6548227--
800	-764.01	-2.35	292819095133201
801	-792.0	-17.5565	6433906--
802	-784.61	-14.44	294351095130401
806	-774.0	4.8768	6531601--
807	-787.85	-0.26	293812095061901
809	-638.2	55.1078	301938095095701
830	-780.0	6.4008	6521322--
832	-791.53	-10.39	293724095115901
834	-781.0	-3.01752	6514425--
834	-807.0	-25.8166	6523151--
836	-818.0	-11.2166	206523139--
840	-815.38	-9.32	292210095044501
843	-819.3	-7.34	292203095043201
855	-835.9	-8.31	292209095042801
860	-827.0	-2.4384	6523315--
860	-845.6	3.71856	6433709--
864	-688.66	35.16	300432095375701
866	-821.0	-0.54864	6522119--
873	-828.0	-8.56488	6514737--
873	-852.97	-8.62	292155095041001
876	-842.3	-12.44	294106095171201
884	-863.97	-7.84	292144095033601
887	-831.0	2.8956	116513824--
890	-850.0	-2.49936	246515406--
900	-870.97	-9.56	294227095061401
900	-884.98	-11.12	294415095165301
910	-858.0	-4.54152	6521324--
913	-883.47	-22.09	294336095082101
914	-898.96	3.3	292236094580401
926	-742.23	38.51	295316095541901
926	-916.4	1.00584	6433813--
934	-917.21	-17.74	294047095000401
947	-897.0	6.096	6514809--
953	-923.0	-16.1544	6513932--
957	-913.0	-16.2763	6522106--
960	-926.0	-10.0584	256523235--
965	-950.0	-7.62	106441218--
965	-951.0	1.8288	46433812--
974	-943.0	-9.7536	256523122--
974	-954.54	-20.59	294427095011801
974	-959.0	-6.7056	96441217--
998	-976.23	-11.04	294452095010201
1000	-985.0	-8.8392	76441208--
1000	-986.7	-11.97	292235094562701
1020	-1005.1	0.94488	6532725--
1024	-1009.0	-3.048	66441216--
1033	-997.0	-1.524	6522226--
1039	-971.0	-2.71272	6513614--
1039	-976.37	-7.0	294811095241901
1049	-972.99	11.95	293720095380502
1052	-942.28	40.33	300126095241401
1096	-1056.0	2.7432	6522211--
1127	-1076.0	1.12776	6521323--
1130	-1031.63	22.81	295836095233301
1188	-1114.24	10.34	294253095352701
1192	-1166.56	-30.04	294233095144201
1200	-1044.8	48.829	302336094590400
1232	-1164.0	-6.00456	6513605--
1232	-1168.25	-0.99	294836095241901
1252	-1185.0	-6.52272	6513607--
1275	-1246.0	-8.2296	256523123--
1283	-1248.0	6.7056	6522323--
1284	-1249.0	-4.8768	6523311--
1291	-1242.0	-13.2283	6514759--
1320	-1290.0	-18.1051	6513926--
1329	-1305.58	-14.5	294333095073301
1350	-1305.0	-5.1816	6522120--
1362	-1294.0	14.7828	6513613--
1376	-1357.0	-4.8768	6523147--
1394	-1342.0	11.8872	6521319--
1399	-1369.0	-43.8912	256523237--
1419	-1384.5	-17.3431	293954095111201
1456	-1414.0	-1.524	6513924--
1458	-1389.0	-4.78536	6513608--
1464	-1251.0	65.1053	301828095272402
1465	-1406.0	23.4696	6513915--
1481	-1452.0	-52.4256	256523234--
1521	-1476.0	7.0104	126522118--
1535	-1500.0	-3.9624	6514747--
1540	-1498.0	4.572	6513925--
1606	-1531.23	22.26	293717095380101
1618	-1567.0	-7.62	6521320--
1638	-1588.0	-0.39624	6514733--
1651	-1617.0	-4.48056	166522615--
1680	-1640.0	-16.1544	236523804--
1701	-1683.28	-26.91	294313095135001
1756	-1711.0	-3.9624	6522121--
1840	-1810.0	-12.192	256523236--
1858	-1791.0	1.03632	6513606--
1876	-1827.0	10.3632	176514727--
1927	-1899.0	-4.2672	256523124--
1993	-1935.6	-9.20496	294745095201001
1996	-1946.0	25.6032	6513732--
2025	-1982.0	-3.048	6513933--
2500	-2298.0	44.8056	302612095360801
